Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_IndigencyStatus,WhetherDefendantWasReleasedPretrial,DaysBetweenContactEventAndPretrialRelease,PretrialReleaseType2,BondTypeAtInitialContact,BondAmountAtInitialContact,BondTypeAtRelease_v1,BondAmountAtRelease,Indicator_PresumptiveDenialOfBail_19.2_120,PriorArrests,Locality_JudicialCircuit,Locality_MagisterialRegion,FollowUp_ChargedWithNewFTA,FollowUp_ArrestedforNewOff,CrimeCommission2021ReportClassificationofDefendants,VPRAI_TotalPoints_Opt1,VPRAI_TotalPoints_Opt2,PSA_FTA_TotalPoints,PSA_NCA_TotalPoints,PSA_NVCA_TotalPoints
M,W,42,0,1,888,3,7, ,2,0,0,8,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,4,6,5
M,W,29,1,1,99,3,7, ,2,2500,0,17,   28.00,    1.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,1,1
M,W,53,1,1,888,3,7, ,2,0,0,10,   15.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,1,5,3
M,B,31,1,1,888,3,7, ,2,0,0,42,   15.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,10,11,7,10,4
F,W,43,1,1,888,3,7, ,2,0,0,4,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,5,2
M,W,44,0,1,888,3,7, ,2,0,0,2,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,B,29,1,0,999,0,7, ,1, ,1,9,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,10,11,1,5,2
F,W,35,1,1,34,3,7, ,2,0,0,8,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,3,5,1
M,B,29,1,1,888,3,7, ,2,0,0,12,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,1,1
F,W,30,1,0,999,0,7, ,1, ,0,17,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,10,11,3,7,2
M,B,25,0,0,999,0,7, ,1, ,2,11,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,8,9,2,7,5
M,W,37,1,1,888,3,7, ,2,0,0,31,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,3,8,3
F,W,24,1,1,888,3,7, ,2,0,0,4,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,2
M,A,29,0,0,999,0,7, ,1, ,0,4,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,0,1,0,0,2
M,W,59,0,1,888,3,7, ,2,0,1,5,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,2,2
M,W,34,1,1,39,3,7, ,2,0,0,5,   15.00,    6.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,1,3
F,W,45,0,1,888,3,7, ,2,0,0,1,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,W,28,1,1,888,3,7, ,2,0,0,7,   15.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,2
M,W,26,1,1,888,3,7, ,2,0,0,3,   15.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,11,12,2,4,2
M,W,44,1,1,888,3,7, ,2,0,0,1,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,B,35,1,0,999,0,7, ,1, ,0,48,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,10,11,4,6,4
M,B,39,1,0,999,0,7, ,1, ,0,13,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,2,3,1,3,1
M,B,31,1,0,999,0,7, ,1, ,1,29,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,10,11,7,11,4
M,B,39,1,1,888,3,7, ,2,5000,2,4,    6.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
F,W,59,0,1,0,3,7, ,2,1000,0,0,   30.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,W,19,1,1,888,3,7, ,2,0,2,8,    9.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,2,3
F,W,53,0,1,888,3,7, ,2, ,0,48,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,10,11,2,5,2
M,B,28,0,1,888,3,7, ,2, ,0,31,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,3,7,2
M,B,24,0,1,888,3,7, ,2, ,0,14,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,3,1
M,B,29,1,0,999,0,7, ,1, ,2,20,   22.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,7,8,2,9,6
M,B,25,1,1,888,3,7, ,2,0,0,9,   22.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,3,1
F,B,32,0,1,888,3,7, ,2, ,0,2,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,0,0,0
M,B,38,1,1,1,6,7, ,2,0,2,7,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,5,5
M,W,38,0,1,888,3,7, ,2, ,0,2,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,3,3
F,W,44,0,1,888,3,7, ,2, ,0,5,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,2,1
M,B,38,1,1,888,3,7, ,2,0,0,8,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,4,1
M,W,33,1,1,20,6,7, ,2,0,1,17,   24.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,3,7,2
M,B,29,1,1,777,6,7, ,2,0,2,19,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,2,7,2
M,B,31,1,1,888,3,7, ,2,0,0,7,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,4,4,1
M,W,34,0,1,888,3,7, ,2,0,0,2,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,W,33,0,0,999,0,7, ,1, ,0,35,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,11,12,4,8,2
M,W,43,0,0,999,0,7, ,1, ,1,7,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,2,3,1,3,3
M,W,20,0,1,777,4,7, ,4, ,0,1,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,2,0
F,W,32,0,0,999,0,7, ,1, ,1,27,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,10,11,5,6,1
M,W,46,1,1,4,6,1, ,2,10000,1,1,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,B,30,0,1,1,3,2,2000,2,2000,0,13,   24.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,1,4,1
M,B,27,0,1,3,4,1, ,3,3500,2,6,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,1,4,4
F,W,31,0,1,1,3,2,1000,2,1000,0,10,   12.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,3,7,2
M,B,43,1,1,0,1,3,4000,3,4000,0,46,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,10,11,5,10,4
F,B,36,1,1,0,1,3,3000,3,3000,1,4,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,2,2
M,W,41,0,0,999,0,1, ,1, ,0,21,   14.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,3,7,2
M,B,29,0,1,0,9,2,2000,7, ,0,0,   14.00,    6.00,0,0,Defendant could not be classified or tracked due to insufficeint data,3,4,0,0,0
M,B,27,0,1,0,1,3,1000,3,1000,0,4,   14.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,1,1,1
M,W,39,1,1,1,3,2,2500,2,2500,0,8,   21.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,3,4
M,W,36,0,0,999,0,1, ,1, ,0,26,   30.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,2,9,4
M,W,45,1,1,3,1,1, ,4, ,0,29,   31.00,    5.00,1,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,6,7,2
M,W,23,1,1,0,1,3,1500,3,1500,0,26,   27.00,    1.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,1,4,1
M,W,29,1,1,0,3,2,5000,2,5000,0,8,   27.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,3,3,1
M,B,41,0,1,0,3,2,1500,2,1500,0,75,   16.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,3,9,4
M,B,30,0,0,999,0,1, ,1, ,1,3,    1.00,    8.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,2,3,1,3,1
M,B,53,0,0,999,0,1, ,1, ,0,45,    1.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,9,10,3,7,2
M,W,31,1,1,2,1,1, ,3,5000,1,43,    1.00,    8.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,10,11,3,9,4
M,W,40,0,0,999,0,1, ,1, ,0,24,    1.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,2,4,1
M,B,27,0,1,0,1,3,4000,3,4000,0,19,   22.00,    2.00,1,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,3,6,2
M,B,26,0,1,116,3,2,5000,2,1000,0,5,    8.00,    8.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,0,1,1,3,1
M,B,27,1,1,80,4,1, ,4, ,2,18,    7.00,    8.00,1,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,9,10,7,9,4
M,B,29,1,1,0,3,2,1000,2,1000,0,10,    4.00,    7.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,3,3,4
M,B,36,1,1,0,3,2,1000,2,1000,0,8,    4.00,    7.00,1,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,2,1,1
M,B,21,0,1,17,9,1, ,7, ,0,0,   13.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,0,2,0
M,B,45,1,1,10,3,1, ,2,10000,0,6,    5.00,    8.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,4
F,W,21,0,1,0,1,3,2500,3,2500,1,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,W,22,0,0,999,0,1, ,1, ,0,12,    2.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,1,6,2
F,W,35,1,1,4,4,1, ,3,3500,2,15,   25.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,4,5,3,3,4
M,B,56,1,1,14,3,1, ,2,10000,2,8,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,1,3,4
M,B,54,0,1,0,1,3,5000,3,5000,0,2,   17.00,    5.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,3,1
M,B,54,1,1,0,3,2,10000,2,10000,0,7,   17.00,    5.00,0,1,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,3,8,3
M,W,33,0,0,999,0,1, ,1, ,2,24,   10.00,    3.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,3,9,4
M,B,27,0,1,0,3,2,1500,2,1500,0,12,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,6,5
M,B,30,0,0,999,0,1, ,1, ,0,28,   15.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,1,6,3
M,B,32,0,0,999,0,1, ,1, ,0,11,   15.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,1,1,1
M,B,33,0,1,17,3,2,1000,2,1000,0,19,   12.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,1,5,2
M,W,39,0,1,0,3,2,5000,2,5000,2,4,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,2,1,3
F,B,29,1,1,146,1,3,5000,3,5000,0,20,   12.00,    3.00,1,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,10,11,7,9,2
M,W,26,1,1,0,1,3,2000,3,2000,0,1,   19.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,20,0,0,999,0,1, ,1, ,0,4,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,5,6,1,5,1
